example_id,producto_id,retailer_id,categoria_id,product_country,synthetic,precio_usd_final,precio_median_group,imputation_source,decision,is_price_imputed_model
1617,446,6,3,PE,True,3.0986,,original_clean,keep_imputed,False
1618,447,6,8,PE,True,3.0986,,original_clean,keep_imputed,False
1619,447,6,8,PE,True,3.0986,,original_clean,keep_imputed,False
1620,447,6,8,PE,True,3.0986,,original_clean,keep_imputed,False
1621,447,6,8,PE,True,3.0986,,original_clean,keep_imputed,False
1622,448,6,8,PE,True,1.4085,,original_clean,keep_imputed,False
1623,448,6,8,PE,True,1.4085,,original_clean,keep_imputed,False
1624,448,6,8,PE,True,1.4085,,original_clean,keep_imputed,False
1625,448,6,8,PE,True,1.4085,,original_clean,keep_imputed,False
1626,449,6,21,PE,True,5.3521,,original_clean,keep_imputed,False
1627,449,6,21,PE,True,5.3521,,original_clean,keep_imputed,False
1628,449,6,21,PE,True,5.3521,,original_clean,keep_imputed,False
1629,449,6,21,PE,True,5.3521,,original_clean,keep_imputed,False
1630,450,6,21,PE,True,7.0423,,original_clean,keep_imputed,False
1631,450,6,21,PE,True,7.0423,,original_clean,keep_imputed,False
1632,450,6,21,PE,True,7.0423,,original_clean,keep_imputed,False
1633,450,6,21,PE,True,7.0423,,original_clean,keep_imputed,False
1634,474,4,2,US,True,12.0,,original_clean,keep_imputed,False
1635,474,4,2,US,True,12.0,,original_clean,keep_imputed,False
1636,474,4,2,US,True,12.0,,original_clean,keep_imputed,False
1637,474,4,2,US,True,12.0,,original_clean,keep_imputed,False
1638,475,4,2,US,True,12.0,,original_clean,keep_imputed,False
1639,475,4,2,US,True,12.0,,original_clean,keep_imputed,False
1640,475,4,2,US,True,12.0,,original_clean,keep_imputed,False
1641,475,4,2,US,True,12.0,,original_clean,keep_imputed,False
1642,476,4,2,US,True,12.0,,original_clean,keep_imputed,False
1643,476,4,2,US,True,12.0,,original_clean,keep_imputed,False
1644,476,4,2,US,True,12.0,,original_clean,keep_imputed,False
1645,476,4,2,US,True,12.0,,original_clean,keep_imputed,False
1646,477,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1647,477,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1648,477,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1649,477,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1650,478,4,2,US,True,12.0,,original_clean,keep_imputed,False
1651,478,4,2,US,True,12.0,,original_clean,keep_imputed,False
1652,478,4,2,US,True,12.0,,original_clean,keep_imputed,False
1653,478,4,2,US,True,12.0,,original_clean,keep_imputed,False
1654,479,4,2,US,True,12.0,,original_clean,keep_imputed,False
1655,479,4,2,US,True,12.0,,original_clean,keep_imputed,False
1656,479,4,2,US,True,12.0,,original_clean,keep_imputed,False
1657,479,4,2,US,True,12.0,,original_clean,keep_imputed,False
1658,480,4,1,US,True,12.0,,original_clean,keep_imputed,False
1659,480,4,1,US,True,12.0,,original_clean,keep_imputed,False
1660,480,4,1,US,True,12.0,,original_clean,keep_imputed,False
1661,480,4,1,US,True,12.0,,original_clean,keep_imputed,False
1662,481,4,2,US,True,12.0,,original_clean,keep_imputed,False
1663,481,4,2,US,True,12.0,,original_clean,keep_imputed,False
1664,481,4,2,US,True,12.0,,original_clean,keep_imputed,False
1665,481,4,2,US,True,12.0,,original_clean,keep_imputed,False
1666,482,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1667,482,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1668,482,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1669,482,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1670,483,4,2,US,True,12.0,,original_clean,keep_imputed,False
1671,483,4,2,US,True,12.0,,original_clean,keep_imputed,False
1672,483,4,2,US,True,12.0,,original_clean,keep_imputed,False
1673,483,4,2,US,True,12.0,,original_clean,keep_imputed,False
1674,484,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1675,484,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1676,484,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1677,484,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1678,485,4,2,US,True,12.0,,original_clean,keep_imputed,False
1679,485,4,2,US,True,12.0,,original_clean,keep_imputed,False
1680,485,4,2,US,True,12.0,,original_clean,keep_imputed,False
1681,485,4,2,US,True,12.0,,original_clean,keep_imputed,False
1682,486,4,2,US,True,12.0,,original_clean,keep_imputed,False
1683,486,4,2,US,True,12.0,,original_clean,keep_imputed,False
1684,486,4,2,US,True,12.0,,original_clean,keep_imputed,False
1685,486,4,2,US,True,12.0,,original_clean,keep_imputed,False
1686,487,4,2,US,True,12.0,,original_clean,keep_imputed,False
1687,487,4,2,US,True,12.0,,original_clean,keep_imputed,False
1688,487,4,2,US,True,12.0,,original_clean,keep_imputed,False
1689,487,4,2,US,True,12.0,,original_clean,keep_imputed,False
1690,488,4,2,US,True,12.0,,original_clean,keep_imputed,False
1691,488,4,2,US,True,12.0,,original_clean,keep_imputed,False
1692,488,4,2,US,True,12.0,,original_clean,keep_imputed,False
1693,488,4,2,US,True,12.0,,original_clean,keep_imputed,False
1694,489,4,2,US,True,12.0,,original_clean,keep_imputed,False
1695,489,4,2,US,True,12.0,,original_clean,keep_imputed,False
1696,489,4,2,US,True,12.0,,original_clean,keep_imputed,False
1697,489,4,2,US,True,12.0,,original_clean,keep_imputed,False
1698,490,4,2,US,True,12.0,,original_clean,keep_imputed,False
1699,490,4,2,US,True,12.0,,original_clean,keep_imputed,False
1700,490,4,2,US,True,12.0,,original_clean,keep_imputed,False
1701,490,4,2,US,True,12.0,,original_clean,keep_imputed,False
1702,491,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1703,491,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1704,491,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1705,491,1,2,UNKNOWN,True,12.0,,original_clean,keep_imputed,False
1706,492,4,2,US,True,12.0,,original_clean,keep_imputed,False
1707,492,4,2,US,True,12.0,,original_clean,keep_imputed,False
1708,492,4,2,US,True,12.0,,original_clean,keep_imputed,False
1709,492,4,2,US,True,12.0,,original_clean,keep_imputed,False
1710,493,4,2,US,True,12.0,,original_clean,keep_imputed,False
1711,493,4,2,US,True,12.0,,original_clean,keep_imputed,False
1712,493,4,2,US,True,12.0,,original_clean,keep_imputed,False
1713,493,4,2,US,True,12.0,,original_clean,keep_imputed,False
1714,494,3,13,BR,True,1.7419,,original_clean,keep,False
1715,494,3,13,BR,True,1.7419,,original_clean,keep,False
1718,495,3,13,BR,True,1.5584,,original_clean,keep,False
1719,495,3,13,BR,True,1.5584,,original_clean,keep,False
1720,495,3,13,BR,True,1.5584,,original_clean,keep,False
1721,495,3,13,BR,True,1.5584,,original_clean,keep,False
1722,496,3,1,BR,True,4.587,,original_clean,keep_imputed,False
1723,496,3,1,BR,True,4.587,,original_clean,keep_imputed,False
1724,496,3,1,BR,True,4.587,,original_clean,keep_imputed,False
1725,496,3,1,BR,True,4.587,,original_clean,keep_imputed,False
1726,497,3,23,BR,True,4.587,,original_clean,keep_imputed,False
1727,497,3,23,BR,True,4.587,,original_clean,keep_imputed,False
1728,497,3,23,BR,True,4.587,,original_clean,keep_imputed,False
1729,497,3,23,BR,True,4.587,,original_clean,keep_imputed,False
1730,498,1,31,UNKNOWN,True,1.0,,original_clean,keep,False
1731,498,1,31,UNKNOWN,True,1.0,,original_clean,keep,False
1732,498,1,31,UNKNOWN,True,1.0,,original_clean,keep,False
1733,498,1,31,UNKNOWN,True,1.0,,original_clean,keep,False
1734,499,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1735,499,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1736,499,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1737,499,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1738,500,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1739,500,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1740,500,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1741,500,1,13,UNKNOWN,True,1.0,,original_clean,keep,False
1742,501,1,10,UNKNOWN,True,1.0,,original_clean,keep,False
1743,501,1,10,UNKNOWN,True,1.0,,original_clean,keep,False
1744,501,1,10,UNKNOWN,True,1.0,,original_clean,keep,False
1745,501,1,10,UNKNOWN,True,1.0,,original_clean,keep,False
