producto_id,retailer_id,retailer,retailer_country,categoria_id,category_raw,category_canonical,category_is_imputed,nombre_producto,marca,unidad,product_country,moneda_local,precio_local,precio_usd,precio_usd_clean,fx_local_per_usd,is_imputed_clean,decision,razon_clean,precio_median_group,precio_usd_imputed,imputation_source
130,6,Desconocido,PE,3,pan,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,560g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
131,6,Desconocido,PE,8,huevo,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,450g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
132,6,Desconocido,PE,21,atun,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,140g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
133,6,Desconocido,PE,21,atun,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,150g,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
134,6,Desconocido,PE,21,atun,sin_categoria,True,Centro de preferencia de la privacidad,Activas siempre,150gr,PE,LOCAL,55.14,15.5336,15.5336,3.55,True,keep_imputed,no_category_detected;price_parse_failed,4.7662,15.5336,median_category_country
135,1,Desconocido,UNKNOWN,22,cerveza,cerveza,False,Cerveja Praya Witbier 600ml,Descripción,600ml,UNKNOWN,LOCAL,127.27,127.2675,,1.0,True,keep_imputed,price_parse_failed;price<=0 [precio_usd fuera de rango 1–20],4.0,4.0,median_category_country
138,3,Desconocido,BR,23,cerveza,sin_categoria,True,Cervejas Tradicionais,de,350ml,BR,LOCAL,3.99,0.7324,,5.448,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],1.9805,1.9805,median_category_country
140,3,Desconocido,BR,23,cerveza,sin_categoria,True,Cervejas Tradicionais,"R$ 5,19",330ml,BR,LOCAL,5.19,0.9526,,5.448,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],1.9805,1.9805,median_category_country
142,3,Desconocido,BR,23,cerveza,sin_categoria,True,Cervejas Tradicionais,"R$ 3,99",350ml,BR,LOCAL,3.99,0.7324,,5.448,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],1.9805,1.9805,median_category_country
150,4,Desconocido,US,22,cerveza,cerveza,False,CERVEZA PILSENER LATA 355 ML,Comparar,355 ML,US,LOCAL,0.99,0.99,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.19,1.19,median_category_country
152,1,Desconocido,UNKNOWN,22,cerveza,cerveza,False,"Cervezas, vinos y licores",Cervezas,330 ml,UNKNOWN,LOCAL,990.0,990.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],4.0,4.0,median_category_country
154,4,Desconocido,US,23,cerveza,sin_categoria,True,COLA FANTA 500 ML NARANJA,Comparar,500 ML,US,LOCAL,0.49,0.49,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],12.0,12.0,median_category_country
179,7,Desconocido,AR,14,cafe,cafe,False,DALE VIDA A TU JARDIN,🌷🌻​🌼​,1L,AR,LOCAL,1145.45,0.9127,,1255.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.91695,1.91695,median_category_country
180,7,Desconocido,AR,14,cafe,cafe,False,DALE VIDA A TU JARDIN,🌷🌻​🌼​,NaN,AR,LOCAL,904.07,0.7204,,1255.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.91695,1.91695,median_category_country
187,7,Desconocido,AR,14,cafe,cafe,False,DALE VIDA A TU JARDIN,🌷🌻​🌼​,800 GR,AR,LOCAL,800.0,0.6375,,1255.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.91695,1.91695,median_category_country
188,7,Desconocido,AR,14,cafe,cafe,False,DALE VIDA A TU JARDIN,🌷🌻​🌼​,450G,AR,LOCAL,450.0,0.3586,,1255.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.91695,1.91695,median_category_country
189,7,Desconocido,AR,14,cafe,cafe,False,DALE VIDA A TU JARDIN,🌷🌻​🌼​,250 GR,AR,LOCAL,250.0,0.1992,,1255.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.91695,1.91695,median_category_country
190,7,Desconocido,AR,14,cafe,cafe,False,DALE VIDA A TU JARDIN,🌷🌻​🌼​,250 G,AR,LOCAL,250.0,0.1992,,1255.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],1.91695,1.91695,median_category_country
200,1,Desconocido,UNKNOWN,5,leche,sin_categoria,True,Descripción del producto,MARCA,1l,UNKNOWN,LOCAL,50.0,50.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
201,1,Desconocido,UNKNOWN,5,leche,sin_categoria,True,Descripción del producto,MARCA,610g,UNKNOWN,LOCAL,6550.0,6550.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
202,1,Desconocido,UNKNOWN,5,leche,sin_categoria,True,Descripción del producto,MARCA,550g,UNKNOWN,LOCAL,600.0,600.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
203,1,Desconocido,UNKNOWN,3,pan,sin_categoria,True,Descripción del producto,MARCA,1kg,UNKNOWN,LOCAL,1312.0,1312.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
204,1,Desconocido,UNKNOWN,1,azucar,sin_categoria,True,Descripción del producto,MARCA,1 Kg,UNKNOWN,LOCAL,1299.0,1299.0,,1.0,True,keep_imputed,no_category_detected [precio_usd fuera de rango 1–20],3.705,3.705,median_category_country
205,1,Desconocido,UNKNOWN,13,azucar,azucar,False,Descripción del producto,Azúcar Cristal Uniao 1kg,1kg,UNKNOWN,LOCAL,990.0,990.0,,1.0,True,keep,heuristic_default [precio_usd fuera de rango 1–20],2.77,2.77,median_category_country
