source_id,product_name,brand,unit,country,seller,category_effective,category_is_imputed,category_canonical,category_canonical_imputed,price_amount_filled,price_amount_usd_filled,price_is_imputed,price_imputation_source,fx_rate_local_per_usd,fx_source,decision_imputed,reasons,txt_path,html_path
1608,Alimentos básicos,Frijoles,1 Kg,UNKNOWN,Desconocido,frijoles,False,frijoles,,1.02,1.02,True,category_mean,1.0,default_1usd,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/1608.txt,dataset/paginas_descargadas/1608.html
1610,Alimentos básicos,Frijoles,1Kg,UNKNOWN,Desconocido,frijoles,False,frijoles,,1.02,1.02,True,category_mean,1.0,default_1usd,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/1610.txt,dataset/paginas_descargadas/1610.html
1612,Alimentos básicos,Frijoles,1 kg,UNKNOWN,Desconocido,frijoles,False,frijoles,,1.02,1.02,True,category_mean,1.0,default_1usd,keep_imputed,price_parse_failed;price<=0,dataset/txt_limpios/1612.txt,dataset/paginas_descargadas/1612.html
180,Alimentos básicos,Arroz,5Kg,BR,Desconocido,arroz,False,arroz,,23.89,4.3851,False,original,5.448,from_brasil_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/180.txt,dataset/paginas_descargadas/180.html
181,Alimentos básicos,Arroz,5Kg,BR,Desconocido,arroz,False,arroz,,18.59,3.4123,False,original,5.448,from_brasil_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/181.txt,dataset/paginas_descargadas/181.html
182,Alimentos básicos,Arroz,2Kg,BR,Desconocido,arroz,False,arroz,,11.99,2.2008,False,original,5.448,from_brasil_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/182.txt,dataset/paginas_descargadas/182.html
183,Alimentos básicos,Arroz,5 kg,BR,Desconocido,arroz,False,arroz,,16.59,3.0452,False,original,5.448,from_brasil_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/183.txt,dataset/paginas_descargadas/183.html
184,Alimentos básicos,Arroz,5Kg,BR,Desconocido,arroz,False,arroz,,19.49,3.5775,False,original,5.448,from_brasil_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/184.txt,dataset/paginas_descargadas/184.html
185,Alimentos básicos,Cafés,40g,BR,Desconocido,frijoles,True,sin_categoria,frijoles,8.89,1.6318,False,original,5.448,from_brasil_cambio_dolar,keep_imputed,no_category_detected,dataset/txt_limpios/185.txt,dataset/paginas_descargadas/185.html
225,Alimentos básicos,Frijoles,1 Kg,BR,Desconocido,frijoles,False,frijoles,,5.29,0.971,False,original,5.448,from_brasil_cambio_dolar,keep,heuristic_default,dataset/txt_limpios/225.txt,dataset/paginas_descargadas/225.html
